numberOfData, addingTime, findingTime, deletingTime
663, 900, 1000, 2200
664, 600, 1100, 1300
665, 700, 1200, 1500
666, 900, 1200, 2500
667, 1500, 1300, 1300
668, 1000, 1100, 1200
669, 1300, 1100, 5400
670, 1200, 1600, 1100
671, 800, 1400, 1300
672, 500, 2500, 1100
673, 400, 2100, 1100
674, 1600, 1100, 1100
675, 1000, 2000, 1200
676, 300, 1100, 1100
677, 300, 1400, 1200
678, 1800, 2100, 1800
679, 500, 1100, 1100
680, 200, 1000, 1200
681, 1400, 1100, 1100
682, 500, 1100, 2400
683, 600, 1000, 1400
684, 700, 1300, 1100
685, 500, 1000, 2200
686, 700, 1100, 1300
687, 900, 1100, 1200
688, 1200, 1000, 2300
689, 1100, 1100, 1100
690, 500, 1100, 1100
691, 800, 1100, 1800
692, 700, 1000, 1300
693, 700, 1400, 1200
694, 700, 2000, 1200
695, 500, 1000, 1000
696, 500, 1500, 1600
697, 900, 2100, 1700
698, 400, 1000, 1100
699, 300, 1000, 1200
700, 1300, 2000, 1100
701, 500, 1000, 2100
702, 1000, 1000, 1200
703, 1000, 1200, 1100
704, 1400, 1300, 3200
705, 700, 1300, 1300
706, 900, 1000, 1100
707, 700, 1000, 2700
708, 1500, 1200, 2000
709, 32000, 10000, 3800
710, 1100, 1300, 3200
711, 1300, 1100, 1100
712, 1800, 1200, 1500
713, 900, 1900, 1700
714, 1400, 1300, 2200
715, 700, 1000, 1200
716, 700, 1900, 1100
717, 900, 1100, 1100
718, 1300, 1100, 1200
719, 500, 1900, 1100
720, 1200, 1600, 2100
721, 300, 1000, 1100
722, 500, 1100, 1100
723, 300, 1400, 2000
724, 500, 1000, 1000
725, 800, 1000, 1100
726, 600, 1000, 2200
727, 800, 1000, 1100
728, 1100, 1100, 1500
729, 900, 1100, 2500
730, 800, 1200, 1200
731, 400, 1100, 1200
732, 1200, 2400, 1700
733, 900, 1000, 1100
734, 1300, 1300, 1400
735, 900, 2500, 1200
736, 400, 1400, 1200
737, 500, 1100, 3500
738, 800, 2500, 1200
739, 700, 1000, 2100
740, 700, 1000, 1200
741, 700, 1000, 1100
742, 1000, 1000, 2100
743, 300, 1000, 1200
744, 400, 1000, 1100
745, 900, 1600, 2100
746, 1400, 2200, 1500
747, 800, 1200, 1200
748, 800, 1000, 2100
749, 500, 1000, 1100
750, 800, 1000, 1100
751, 600, 2100, 1200
752, 700, 1100, 1100
753, 900, 1000, 1800
754, 1000, 2300, 1000
755, 1300, 1100, 1200
756, 500, 1100, 1200
757, 900, 4700, 3100
758, 800, 1200, 3000
759, 600, 1100, 1200
760, 900, 1100, 1600
761, 700, 1000, 3300
762, 700, 1000, 26700
763, 900, 1600, 1400
764, 800, 1000, 2100
765, 700, 1000, 1500
766, 400, 1100, 1500
767, 400, 1100, 2700
768, 500, 1900, 4300
769, 700, 1100, 1200
770, 700, 2000, 1100
771, 600, 1100, 900
772, 800, 1000, 1800
773, 400, 2200, 1100
774, 400, 1000, 1000
775, 800, 1000, 1400
776, 700, 1900, 1200
777, 900, 1100, 1400
778, 800, 1100, 1100
779, 1000, 3600, 1800
780, 1100, 1300, 2300
781, 500, 1200, 1100
782, 1200, 1100, 1500
783, 500, 900, 2300
784, 900, 1500, 1200
785, 1000, 1400, 1100
786, 800, 1200, 2000
787, 1000, 1500, 1000
788, 500, 1100, 1000
789, 700, 2500, 1400
790, 600, 1000, 1100
791, 700, 1700, 1500
792, 1200, 2000, 1100
793, 900, 1100, 2000
794, 800, 1100, 1500
795, 900, 2000, 2400
796, 1400, 1300, 1500
797, 600, 1200, 15300
798, 500, 1400, 1300
799, 600, 1000, 2000
800, 1500, 17800, 2200
801, 700, 1200, 1200
802, 800, 1100, 2500
803, 700, 1100, 1400
